地域階層,地域コード,国・地域(人),総数,中国,韓国,ネパール,ベトナム,ミャンマー,フィリピン,台湾,米国,インド,インドネシア,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,783701,299831,90766,63281,57340,39198,37651,24550,22465,20003,15909,112707,721223,62478
1,13100,区部,655945,262320,77138,52736,42405,34143,27532,21438,18445,18354,10670,90764,605506,50439
4,13101,千代田区,4344,2438,506,54,112,33,70,283,189,69,28,562,4108,236
4,13102,中央区,13594,7392,1918,120,291,153,192,660,534,294,84,1956,12553,1041
4,13103,港区,23901,7991,3689,158,251,152,1000,1077,2798,522,153,6110,22614,1287
4,13104,新宿区,51357,19778,9071,5592,2665,3411,715,1982,1233,302,298,6310,48097,3260
4,13105,文京区,17094,9260,1706,654,631,886,208,757,517,137,146,2192,15923,1171
4,13106,台東区,21346,10466,2799,901,1048,529,848,829,408,804,229,2485,20332,1014
4,13107,墨田区,17806,8951,1959,657,821,441,1290,618,304,194,282,2289,16980,826
4,13108,江東区,41387,20585,4441,1485,1525,1123,1659,945,613,4239,495,4277,39561,1826
4,13109,品川区,17988,6383,2631,1282,902,700,831,931,720,370,385,2853,17010,978
4,13110,目黒区,12260,3113,1667,353,381,180,541,672,1256,175,421,3501,11479,781
4,13111,大田区,34516,10460,3565,4912,3256,1467,3103,1243,733,439,962,4376,32041,2475
4,13112,世田谷区,30772,9382,4439,1007,1677,700,1122,1292,2563,630,723,7237,28202,2570
4,13113,渋谷区,13280,3925,1922,214,305,153,309,750,1453,178,173,3898,12711,569
4,13114,中野区,27145,9610,2847,3932,2258,1628,594,1025,702,132,264,4153,24632,2513
4,13115,杉並区,25275,8103,2839,4252,1990,1031,601,1061,976,177,451,3794,22289,2986
4,13116,豊島区,38584,17077,2461,4180,2772,5504,515,1333,599,199,280,3664,36360,2224
4,13117,北区,35296,15233,2525,4156,2524,3540,866,806,400,193,307,4746,31471,3825
4,13118,荒川区,25576,9645,4265,3375,2031,2325,602,593,231,119,269,2121,23539,2037
4,13119,板橋区,41160,18167,3645,4609,2849,2847,1727,1240,462,193,744,4677,37481,3679
4,13120,練馬区,29662,11376,4482,2166,2158,1721,1342,960,691,180,681,3905,26531,3131
4,13121,足立区,48290,20100,6786,2150,4604,2347,4001,914,403,338,1148,5499,43996,4294
